2023-04-25 16:19:04,375 INFO    StreamThr :148774 [internal.py:wandb_internal():86] W&B internal server running at pid: 148774, started at: 2023-04-25 16:19:04.375543
2023-04-25 16:19:04,378 DEBUG   HandlerThread:148774 [handler.py:handle_request():144] handle_request: status
2023-04-25 16:19:04,417 INFO    WriterThread:148774 [datastore.py:open_for_write():85] open: /home/zhengrong/TableBot/wandb/run-20230425_161904-k8okftzu/run-k8okftzu.wandb
2023-04-25 16:19:04,418 DEBUG   SenderThread:148774 [sender.py:send():375] send: header
2023-04-25 16:19:04,439 DEBUG   SenderThread:148774 [sender.py:send():375] send: run
2023-04-25 16:19:05,475 INFO    SenderThread:148774 [dir_watcher.py:__init__():219] watching files in: /home/zhengrong/TableBot/wandb/run-20230425_161904-k8okftzu/files
2023-04-25 16:19:05,475 INFO    SenderThread:148774 [sender.py:_start_run_threads():1124] run started: k8okftzu with start time 1682410744.372394
2023-04-25 16:19:05,497 DEBUG   SenderThread:148774 [sender.py:send_request():402] send_request: summary_record
2023-04-25 16:19:05,498 INFO    SenderThread:148774 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-04-25 16:19:05,503 DEBUG   HandlerThread:148774 [handler.py:handle_request():144] handle_request: check_version
2023-04-25 16:19:05,503 DEBUG   SenderThread:148774 [sender.py:send_request():402] send_request: check_version
2023-04-25 16:19:06,105 DEBUG   HandlerThread:148774 [handler.py:handle_request():144] handle_request: run_start
2023-04-25 16:19:06,109 DEBUG   HandlerThread:148774 [system_info.py:__init__():31] System info init
2023-04-25 16:19:06,109 DEBUG   HandlerThread:148774 [system_info.py:__init__():46] System info init done
2023-04-25 16:19:06,109 INFO    HandlerThread:148774 [system_monitor.py:start():181] Starting system monitor
2023-04-25 16:19:06,109 INFO    SystemMonitor:148774 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-04-25 16:19:06,109 INFO    HandlerThread:148774 [system_monitor.py:probe():201] Collecting system info
2023-04-25 16:19:06,111 INFO    SystemMonitor:148774 [interfaces.py:start():190] Started cpu monitoring
2023-04-25 16:19:06,111 INFO    SystemMonitor:148774 [interfaces.py:start():190] Started disk monitoring
2023-04-25 16:19:06,113 INFO    SystemMonitor:148774 [interfaces.py:start():190] Started gpu monitoring
2023-04-25 16:19:06,113 INFO    SystemMonitor:148774 [interfaces.py:start():190] Started memory monitoring
2023-04-25 16:19:06,114 INFO    SystemMonitor:148774 [interfaces.py:start():190] Started network monitoring
